max_phase,molecule_chembl_id,pref_name
,CHEMBL1192957,
,CHEMBL1192958,
,CHEMBL1192959,
,CHEMBL1193356,
,CHEMBL1193357,
,CHEMBL1193560,
,CHEMBL1194157,
,CHEMBL1194163,
,CHEMBL1194228,
,CHEMBL1194757,
,CHEMBL1195151,
,CHEMBL1195353,
,CHEMBL2109983,
,CHEMBL560,
4.0,CHEMBL52440,DEXTROMETHORPHAN
,CHEMBL53078,
,CHEMBL54026,
,CHEMBL50465,
,CHEMBL303336,
,CHEMBL62770,
,CHEMBL62540,
,CHEMBL64346,
,CHEMBL63162,
,CHEMBL64840,
,CHEMBL444267,
,CHEMBL64607,
,CHEMBL60137,
,CHEMBL418310,
,CHEMBL61938,
,CHEMBL302197,
,CHEMBL439751,
,CHEMBL61005,
,CHEMBL61337,
,CHEMBL61338,
,CHEMBL62407,
,CHEMBL63110,
,CHEMBL62408,
,CHEMBL423664,
,CHEMBL62116,
,CHEMBL64470,
,CHEMBL62126,
,CHEMBL292259,
,CHEMBL307444,
,CHEMBL76849,
,CHEMBL77206,
,CHEMBL76475,
,CHEMBL76927,
,CHEMBL78067,
,CHEMBL311508,
,CHEMBL80784,
,CHEMBL430444,
,CHEMBL80968,
,CHEMBL262760,
,CHEMBL308097,
,CHEMBL307253,
,CHEMBL77285,
,CHEMBL76547,
,CHEMBL306955,
,CHEMBL78059,
,CHEMBL76864,
,CHEMBL75860,
,CHEMBL309015,
,CHEMBL311579,
,CHEMBL311622,
,CHEMBL305728,
,CHEMBL77405,
,CHEMBL76806,
,CHEMBL77773,
,CHEMBL75810,
,CHEMBL75864,
,CHEMBL80326,
,CHEMBL77953,
,CHEMBL312692,
,CHEMBL312631,
,CHEMBL80395,
,CHEMBL76802,
,CHEMBL75816,
,CHEMBL318823,
,CHEMBL330601,
,CHEMBL101732,
,CHEMBL103816,
,CHEMBL318877,
,CHEMBL103319,
,CHEMBL103156,
,CHEMBL419343,
,CHEMBL99854,
,CHEMBL276078,
,CHEMBL102406,
,CHEMBL104042,
,CHEMBL106085,
,CHEMBL106027,
,CHEMBL323281,
,CHEMBL319236,
,CHEMBL322468,
,CHEMBL110319,
,CHEMBL421446,
,CHEMBL128999,
,CHEMBL128254,
,CHEMBL340587,
,CHEMBL339638,
,CHEMBL128944,
,CHEMBL340275,
,CHEMBL339253,
,CHEMBL127899,
,CHEMBL141381,
,CHEMBL143800,
,CHEMBL145296,
,CHEMBL190883,
2.0,CHEMBL257661,METAZOCINE
,CHEMBL1189514,
,CHEMBL1190190,
,CHEMBL1192624,
,CHEMBL1195103,
,CHEMBL9666,
,CHEMBL9434,PHENYLPIPERAZINE
,CHEMBL274866,
,CHEMBL277120,
,CHEMBL19351,
,CHEMBL20969,
,CHEMBL38791,
,CHEMBL50880,
,CHEMBL301772,
,CHEMBL51146,
,CHEMBL298778,
,CHEMBL298997,
,CHEMBL51630,
,CHEMBL52372,
,CHEMBL53070,
,CHEMBL50352,
,CHEMBL50029,
,CHEMBL431343,
,CHEMBL50239,
,CHEMBL53938,
,CHEMBL300860,
,CHEMBL53325,
,CHEMBL300408,
,CHEMBL52790,
,CHEMBL54020,
,CHEMBL53102,
,CHEMBL53218,
,CHEMBL50517,
,CHEMBL53778,
,CHEMBL54571,
,CHEMBL298759,
,CHEMBL53650,
,CHEMBL53401,
,CHEMBL301732,
,CHEMBL54662,
,CHEMBL52835,
,CHEMBL54092,
,CHEMBL423122,
,CHEMBL301929,
,CHEMBL51959,
,CHEMBL51856,
,CHEMBL52588,
,CHEMBL54865,
,CHEMBL52300,
,CHEMBL53038,
,CHEMBL416481,
,CHEMBL54027,
,CHEMBL298875,
,CHEMBL298864,
,CHEMBL52298,
,CHEMBL416846,
,CHEMBL54667,
,CHEMBL51754,
,CHEMBL301302,
,CHEMBL53320,
,CHEMBL59517,
,CHEMBL85879,
,CHEMBL94844,
,CHEMBL97302,
,CHEMBL97285,
,CHEMBL94801,
,CHEMBL94950,
,CHEMBL96777,
