molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,value
CHEMBL117183,,CHEMBL117183,7.35,45.0
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542,8.36,4.4
CHEMBL2303661,,CHEMBL2303661,8.70,2.0
CHEMBL114203,,CHEMBL114203,5.17,6750.0
CHEMBL114123,,CHEMBL114123,7.40,40.0
CHEMBL607450,,CHEMBL607450,6.56,278.0
CHEMBL607211,,CHEMBL607211,5.49,3267.0
CHEMBL607276,,CHEMBL607276,5.12,7551.0
CHEMBL606887,,CHEMBL606887,5.82,1516.0
CHEMBL324392,,CHEMBL324392,9.54,0.29
CHEMBL324392,,CHEMBL324392,7.98,10.5
CHEMBL607448,,CHEMBL607448,6.52,302.0
CHEMBL607155,,CHEMBL607155,8.06,8.66
CHEMBL114358,,CHEMBL114358,7.31,49.0
CHEMBL324505,,CHEMBL324505,7.16,69.0
CHEMBL606891,,CHEMBL606891,5.59,2593.0
CHEMBL312766,,CHEMBL312766,9.07,0.86
CHEMBL312766,,CHEMBL312766,9.28,0.52
CHEMBL280063,,CHEMBL280063,8.10,8.0
CHEMBL15601,,CHEMBL15601,8.30,5.0
CHEMBL607392,,CHEMBL607392,5.79,1609.0
CHEMBL2303668,,CHEMBL2303668,7.96,11.0
CHEMBL607210,,CHEMBL607210,6.89,128.0
CHEMBL115998,,CHEMBL115998,8.72,1.9
CHEMBL277927,,CHEMBL277927,6.91,124.0
CHEMBL325052,,CHEMBL325052,5.96,1090.0
CHEMBL116643,,CHEMBL116643,8.64,2.3
CHEMBL607452,,CHEMBL607452,5.22,5952.0
CHEMBL607105,,CHEMBL607105,6.34,456.0
CHEMBL606889,,CHEMBL606889,6.38,418.0
CHEMBL70540,,CHEMBL70540,8.37,4.24
CHEMBL70540,,CHEMBL70540,9.41,0.39
CHEMBL16123,,CHEMBL16123,8.30,5.0
CHEMBL15499,,CHEMBL15499,5.70,2000.0
CHEMBL606835,,CHEMBL606835,5.62,2374.0
CHEMBL15456,,CHEMBL15456,8.70,2.0
CHEMBL15456,,CHEMBL15456,6.86,139.0
CHEMBL113703,,CHEMBL113703,6.98,104.0
CHEMBL607213,,CHEMBL607213,5.57,2670.0
CHEMBL606890,,CHEMBL606890,5.22,6058.0
CHEMBL607331,,CHEMBL607331,5.86,1372.0
CHEMBL606834,,CHEMBL606834,6.68,208.0
CHEMBL15941,,CHEMBL15941,8.70,2.0
CHEMBL15941,,CHEMBL15941,7.43,37.2
CHEMBL15637,,CHEMBL15637,8.05,9.0
CHEMBL606783,,CHEMBL606783,5.86,1385.0
CHEMBL2368719,,CHEMBL2368719,7.13,73.6
CHEMBL2368719,,CHEMBL2368719,7.41,38.9
CHEMBL607158,,CHEMBL607158,5.44,3650.0
CHEMBL607333,,CHEMBL607333,7.12,76.0
CHEMBL326548,,CHEMBL326548,7.50,32.0
CHEMBL607449,,CHEMBL607449,7.92,12.0
CHEMBL607449,,CHEMBL607449,7.96,11.0
CHEMBL70807,,CHEMBL70807,9.51,0.31
CHEMBL606784,,CHEMBL606784,6.68,211.0
CHEMBL607332,,CHEMBL607332,7.11,77.0
CHEMBL116738,,CHEMBL116738,7.46,35.0
CHEMBL607278,,CHEMBL607278,6.90,125.0
CHEMBL280088,,CHEMBL280088,7.00,100.0
