molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id
CHEMBL71049,,CHEMBL71049
CHEMBL71049,,CHEMBL71049
CHEMBL301867,,CHEMBL301867
CHEMBL117319,,CHEMBL117319
CHEMBL607273,,CHEMBL607273
CHEMBL20377,,CHEMBL20377
CHEMBL117183,,CHEMBL117183
CHEMBL117183,,CHEMBL117183
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL2303661,,CHEMBL2303661
CHEMBL114203,,CHEMBL114203
CHEMBL114203,,CHEMBL114203
CHEMBL114123,,CHEMBL114123
CHEMBL114123,,CHEMBL114123
CHEMBL607450,,CHEMBL607450
CHEMBL607211,,CHEMBL607211
CHEMBL607276,,CHEMBL607276
CHEMBL606887,,CHEMBL606887
CHEMBL324392,,CHEMBL324392
CHEMBL324392,,CHEMBL324392
CHEMBL607448,,CHEMBL607448
CHEMBL607155,,CHEMBL607155
CHEMBL114358,,CHEMBL114358
CHEMBL114358,,CHEMBL114358
CHEMBL324505,,CHEMBL324505
CHEMBL606891,,CHEMBL606891
CHEMBL312766,,CHEMBL312766
CHEMBL312766,,CHEMBL312766
CHEMBL280063,,CHEMBL280063
CHEMBL15601,,CHEMBL15601
CHEMBL607392,,CHEMBL607392
CHEMBL2303668,,CHEMBL2303668
CHEMBL607210,,CHEMBL607210
CHEMBL115998,,CHEMBL115998
CHEMBL277927,,CHEMBL277927
CHEMBL325052,,CHEMBL325052
CHEMBL116643,,CHEMBL116643
CHEMBL607452,,CHEMBL607452
CHEMBL607105,,CHEMBL607105
CHEMBL606889,,CHEMBL606889
CHEMBL70540,,CHEMBL70540
CHEMBL70540,,CHEMBL70540
CHEMBL16123,,CHEMBL16123
CHEMBL15499,,CHEMBL15499
CHEMBL606835,,CHEMBL606835
CHEMBL15456,,CHEMBL15456
CHEMBL15456,,CHEMBL15456
CHEMBL15456,,CHEMBL15456
CHEMBL113703,,CHEMBL113703
CHEMBL113703,,CHEMBL113703
CHEMBL607213,,CHEMBL607213
CHEMBL606890,,CHEMBL606890
CHEMBL607331,,CHEMBL607331
CHEMBL606834,,CHEMBL606834
CHEMBL15941,,CHEMBL15941
CHEMBL15941,,CHEMBL15941
CHEMBL15941,,CHEMBL15941
CHEMBL15637,,CHEMBL15637
CHEMBL606783,,CHEMBL606783
CHEMBL2368719,,CHEMBL2368719
CHEMBL2368719,,CHEMBL2368719
CHEMBL607158,,CHEMBL607158
CHEMBL607333,,CHEMBL607333
CHEMBL115917,,CHEMBL115917
CHEMBL115917,,CHEMBL115917
CHEMBL326548,,CHEMBL326548
CHEMBL326548,,CHEMBL326548
CHEMBL607449,,CHEMBL607449
CHEMBL607449,,CHEMBL607449
CHEMBL70807,,CHEMBL70807
CHEMBL606784,,CHEMBL606784
CHEMBL607332,,CHEMBL607332
CHEMBL116738,,CHEMBL116738
CHEMBL116738,,CHEMBL116738
CHEMBL607278,,CHEMBL607278
CHEMBL280088,,CHEMBL280088
CHEMBL606937,,CHEMBL606937
CHEMBL607388,,CHEMBL607388
CHEMBL415985,,CHEMBL415985
CHEMBL415985,,CHEMBL415985
CHEMBL415985,,CHEMBL415985
CHEMBL15986,,CHEMBL15986
CHEMBL326103,,CHEMBL326103
CHEMBL326103,,CHEMBL326103
CHEMBL70861,,CHEMBL70861
CHEMBL70861,,CHEMBL70861
CHEMBL324392,,CHEMBL324392
CHEMBL607274,,CHEMBL607274
CHEMBL607157,,CHEMBL607157
CHEMBL607214,,CHEMBL607214
CHEMBL114163,,CHEMBL114163
CHEMBL117321,,CHEMBL117321
CHEMBL607275,,CHEMBL607275
CHEMBL606838,,CHEMBL606838
CHEMBL2374421,,CHEMBL2374421
CHEMBL316988,,CHEMBL316988
CHEMBL420557,,CHEMBL420557
CHEMBL420557,,CHEMBL420557
CHEMBL117128,,CHEMBL117128
CHEMBL607335,,CHEMBL607335
CHEMBL607451,,CHEMBL607451
CHEMBL606938,,CHEMBL606938
CHEMBL15955,,CHEMBL15955
CHEMBL116354,,CHEMBL116354
CHEMBL116354,,CHEMBL116354
CHEMBL607391,,CHEMBL607391
CHEMBL607156,,CHEMBL607156
CHEMBL326571,,CHEMBL326571
CHEMBL117379,,CHEMBL117379
CHEMBL117379,,CHEMBL117379
CHEMBL326370,,CHEMBL326370
CHEMBL326370,,CHEMBL326370
CHEMBL607390,,CHEMBL607390
CHEMBL607106,,CHEMBL607106
CHEMBL607334,,CHEMBL607334
CHEMBL15809,,CHEMBL15809
CHEMBL147585,,CHEMBL147585
CHEMBL106437,,CHEMBL106437
CHEMBL102999,,CHEMBL102999
CHEMBL20377,,CHEMBL20377
CHEMBL349288,,CHEMBL349288
CHEMBL337818,,CHEMBL337818
CHEMBL342223,,CHEMBL342223
CHEMBL126019,,CHEMBL126019
CHEMBL339281,,CHEMBL339281
CHEMBL545212,,CHEMBL1193750
CHEMBL555890,,CHEMBL1196092
CHEMBL315146,,CHEMBL315146
CHEMBL340185,,CHEMBL340185
CHEMBL127790,,CHEMBL127790
CHEMBL539260,,CHEMBL1189670
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL87414,,CHEMBL87414
CHEMBL127365,,CHEMBL127365
CHEMBL162522,,CHEMBL162522
CHEMBL555401,,CHEMBL1195822
CHEMBL541052,,CHEMBL1190519
CHEMBL545447,,CHEMBL1193956
CHEMBL405524,,CHEMBL405524
CHEMBL545448,,CHEMBL1193957
CHEMBL545689,,CHEMBL1194164
CHEMBL2093875,,CHEMBL2109984
CHEMBL555398,,CHEMBL1195820
CHEMBL2093876,,CHEMBL2109985
CHEMBL20377,,CHEMBL20377
CHEMBL422020,,CHEMBL422020
CHEMBL555581,,CHEMBL1195917
CHEMBL106437,,CHEMBL106437
CHEMBL337929,,CHEMBL337929
CHEMBL134313,,CHEMBL134313
CHEMBL126762,,CHEMBL126762
CHEMBL136981,,CHEMBL136981
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL162807,,CHEMBL162807
CHEMBL539504,,CHEMBL1189788
CHEMBL137794,,CHEMBL137794
CHEMBL138123,,CHEMBL138123
CHEMBL316988,,CHEMBL316988
CHEMBL545217,,CHEMBL1193755
CHEMBL314170,,CHEMBL314170
CHEMBL339863,,CHEMBL339863
CHEMBL126257,,CHEMBL126257
CHEMBL542390,,CHEMBL185841
CHEMBL555418,,CHEMBL1195837
CHEMBL343790,,CHEMBL343790
CHEMBL127013,,CHEMBL127013
CHEMBL339712,,CHEMBL339712
CHEMBL127180,,CHEMBL127180
CHEMBL338411,,CHEMBL338411
CHEMBL340816,,CHEMBL340816
CHEMBL540274,,CHEMBL1190143
CHEMBL553561,,CHEMBL1194940
CHEMBL545687,,CHEMBL1194162
CHEMBL137348,,CHEMBL137348
CHEMBL125795,,CHEMBL125795
CHEMBL554388,,CHEMBL1195353
CHEMBL338469,,CHEMBL338469
CHEMBL544282,,CHEMBL1192959
CHEMBL544280,,CHEMBL1192957
CHEMBL544747,,CHEMBL1193356
CHEMBL341139,,CHEMBL341139
CHEMBL162422,,CHEMBL162422
CHEMBL544987,,CHEMBL1193560
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433
CHEMBL20730,VESAMICOL,CHEMBL20730
CHEMBL543101,,CHEMBL1191933
CHEMBL544281,,CHEMBL1192958
CHEMBL541299,,CHEMBL188713
CHEMBL545688,,CHEMBL1194163
CHEMBL340815,,CHEMBL340815
CHEMBL543810,,CHEMBL1192557
CHEMBL553265,,CHEMBL1194757
CHEMBL554988,,CHEMBL186350
CHEMBL544748,,CHEMBL1193357
CHEMBL542387,,CHEMBL1191310
CHEMBL430466,,CHEMBL430466
CHEMBL342942,,CHEMBL342942
CHEMBL165848,,CHEMBL165848
CHEMBL126742,,CHEMBL126742
CHEMBL163876,,CHEMBL163876
CHEMBL164124,,CHEMBL164124
CHEMBL545682,,CHEMBL1194157
CHEMBL542140,,CHEMBL1191092
CHEMBL2093874,,CHEMBL2109983
CHEMBL338140,,CHEMBL338140
CHEMBL20377,,CHEMBL20377
CHEMBL20377,,CHEMBL20377
CHEMBL543632,,CHEMBL1192403
CHEMBL543632,,CHEMBL1192403
CHEMBL108972,,CHEMBL108972
CHEMBL108972,,CHEMBL108972
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433
CHEMBL107922,,CHEMBL107922
CHEMBL107922,,CHEMBL107922
CHEMBL107870,,CHEMBL107870
CHEMBL107870,,CHEMBL107870
CHEMBL46596,,CHEMBL46596
CHEMBL46596,,CHEMBL46596
CHEMBL110099,,CHEMBL110099
CHEMBL110099,,CHEMBL110099
CHEMBL107717,,CHEMBL107717
CHEMBL107717,,CHEMBL107717
CHEMBL321702,,CHEMBL321702
CHEMBL321702,,CHEMBL321702
CHEMBL47251,,CHEMBL47251
CHEMBL274585,,CHEMBL274585
CHEMBL274585,,CHEMBL274585
CHEMBL274585,,CHEMBL274585
CHEMBL325320,,CHEMBL325320
CHEMBL325320,,CHEMBL325320
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL46463,,CHEMBL46463
CHEMBL107485,,CHEMBL107485
CHEMBL107485,,CHEMBL107485
CHEMBL109026,,CHEMBL109026
CHEMBL109026,,CHEMBL109026
CHEMBL46559,,CHEMBL46559
CHEMBL107720,,CHEMBL107720
CHEMBL107720,,CHEMBL107720
CHEMBL324620,,CHEMBL324620
CHEMBL324620,,CHEMBL324620
CHEMBL323476,,CHEMBL323476
CHEMBL323476,,CHEMBL323476
CHEMBL111331,,CHEMBL111331
CHEMBL111331,,CHEMBL111331
CHEMBL70,MORPHINE,CHEMBL70
CHEMBL308980,,CHEMBL308980
CHEMBL80656,,CHEMBL80656
CHEMBL324418,,CHEMBL324418
CHEMBL542786,,CHEMBL1191655
CHEMBL542786,,CHEMBL1191655
CHEMBL341003,,CHEMBL341003
CHEMBL341003,,CHEMBL341003
CHEMBL1744017,,CHEMBL63010
CHEMBL77286,,CHEMBL77286
CHEMBL77286,,CHEMBL77286
CHEMBL308098,,CHEMBL308098
CHEMBL101300,,CHEMBL101300
CHEMBL101300,,CHEMBL101300
CHEMBL77352,,CHEMBL77352
CHEMBL77352,,CHEMBL77352
CHEMBL431775,,CHEMBL431775
CHEMBL431775,,CHEMBL431775
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL338781,,CHEMBL338781
CHEMBL338781,,CHEMBL338781
CHEMBL128799,,CHEMBL128799
CHEMBL128799,,CHEMBL128799
CHEMBL541091,,CHEMBL128860
CHEMBL541091,,CHEMBL128860
CHEMBL553962,,CHEMBL1195151
CHEMBL553962,,CHEMBL1195151
CHEMBL76528,,CHEMBL76528
CHEMBL76528,,CHEMBL76528
CHEMBL312576,,CHEMBL312576
CHEMBL312576,,CHEMBL312576
CHEMBL308185,,CHEMBL308185
CHEMBL64511,,CHEMBL64511
CHEMBL1744014,,CHEMBL63215
CHEMBL306768,,CHEMBL306768
CHEMBL306768,,CHEMBL306768
CHEMBL106910,,CHEMBL106910
CHEMBL1743991,,CHEMBL291879
CHEMBL77289,,CHEMBL77289
CHEMBL77289,,CHEMBL77289
CHEMBL545760,,CHEMBL1194228
CHEMBL545760,,CHEMBL1194228
CHEMBL128717,,CHEMBL128717
CHEMBL128717,,CHEMBL128717
CHEMBL310499,,CHEMBL310499
CHEMBL310499,,CHEMBL310499
CHEMBL74665,,CHEMBL74665
CHEMBL74665,,CHEMBL74665
CHEMBL101300,,CHEMBL101300
CHEMBL101300,,CHEMBL101300
CHEMBL128860,,CHEMBL128860
CHEMBL128860,,CHEMBL128860
CHEMBL1788383,,CHEMBL292477
CHEMBL308304,,CHEMBL308304
CHEMBL308304,,CHEMBL308304
CHEMBL77120,,CHEMBL77120
CHEMBL77120,,CHEMBL77120
CHEMBL317354,,CHEMBL317354
CHEMBL317354,,CHEMBL317354
CHEMBL542470,,CHEMBL1191381
CHEMBL542470,,CHEMBL1191381
CHEMBL1744001,,CHEMBL63322
CHEMBL312254,,CHEMBL312254
CHEMBL312254,,CHEMBL312254
CHEMBL80,NALOXONE,CHEMBL80
CHEMBL321289,,CHEMBL321289
CHEMBL274099,,CHEMBL274099
CHEMBL274099,,CHEMBL274099
CHEMBL101607,,CHEMBL101607
CHEMBL101607,,CHEMBL101607
CHEMBL100789,,CHEMBL100789
CHEMBL100789,,CHEMBL100789
CHEMBL541091,,CHEMBL128860
CHEMBL1743997,,CHEMBL64556
CHEMBL1744010,,CHEMBL62404
CHEMBL308818,,CHEMBL308818
CHEMBL308818,,CHEMBL308818
CHEMBL77204,,CHEMBL77204
CHEMBL75678,,CHEMBL75678
CHEMBL103157,,CHEMBL103157
CHEMBL103157,,CHEMBL103157
CHEMBL1743995,,CHEMBL418132
CHEMBL76564,,CHEMBL76564
CHEMBL76564,,CHEMBL76564
CHEMBL413057,,CHEMBL413057
CHEMBL413057,,CHEMBL413057
CHEMBL419656,,CHEMBL419656
CHEMBL419656,,CHEMBL419656
CHEMBL80397,,CHEMBL80397
CHEMBL80397,,CHEMBL80397
CHEMBL311451,,CHEMBL311451
CHEMBL311451,,CHEMBL311451
CHEMBL11311,,CHEMBL1178012
CHEMBL11311,,CHEMBL1178012
CHEMBL127720,,CHEMBL127720
CHEMBL127720,,CHEMBL127720
