molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
CHEMBL54,HALOPERIDOL,CHEMBL54,8.82,Ki,nM,1.5,Ki,nM,1.5
CHEMBL53650,,CHEMBL53650,7.25,Ki,nM,56.0,Ki,nM,56.0
CHEMBL53218,,CHEMBL53218,7.63,Ki,nM,23.4,Ki,nM,23.4
CHEMBL52588,,CHEMBL52588,7.13,Ki,nM,74.0,Ki,nM,74.0
CHEMBL416846,,CHEMBL416846,6.4,Ki,nM,400.0,Ki,nM,400.0
CHEMBL38791,,CHEMBL38791,6.12,Ki,nM,762.0,Ki,nM,762.0
CHEMBL51856,,CHEMBL51856,8.96,Ki,nM,1.1,Ki,nM,1.1
CHEMBL53102,,CHEMBL53102,6.64,Ki,nM,230.0,Ki,nM,230.0
CHEMBL110319,,CHEMBL110319,8.89,Ki,nM,1.3,Ki,nM,1.3
CHEMBL141381,,CHEMBL141381,7.42,Ki,nM,38.1,Ki,nM,38.1
CHEMBL298875,,CHEMBL298875,8.23,Ki,nM,5.9,Ki,nM,5.9
CHEMBL301302,,CHEMBL301302,8.21,Ki,nM,6.2,Ki,nM,6.2
CHEMBL298997,,CHEMBL298997,6.79,Ki,nM,161.0,Ki,nM,161.0
CHEMBL322468,,CHEMBL322468,7.5,Ki,nM,32.0,Ki,nM,32.0
CHEMBL54092,,CHEMBL54092,8.92,Ki,nM,1.2,Ki,nM,1.2
CHEMBL54662,,CHEMBL54662,7.78,Ki,nM,16.7,Ki,nM,16.7
CHEMBL50517,,CHEMBL50517,7.32,Ki,nM,48.0,Ki,nM,48.0
CHEMBL53070,,CHEMBL53070,7.85,Ki,nM,14.0,Ki,nM,14.0
CHEMBL51146,,CHEMBL51146,6.43,Ki,nM,373.0,Ki,nM,373.0
CHEMBL143800,,CHEMBL143800,8.11,Ki,nM,7.8,Ki,nM,7.8
CHEMBL145422,,CHEMBL145422,8.77,Ki,nM,1.71,Ki,nM,1.71
CHEMBL542123,,CHEMBL1191079,7.31,Ki,nM,49.0,Ki,nM,49.0
CHEMBL143800,,CHEMBL143800,7.74,Ki,nM,18.4,Ki,nM,18.4
CHEMBL423122,,CHEMBL423122,7.16,Ki,nM,69.0,Ki,nM,69.0
CHEMBL301732,,CHEMBL301732,7.9,Ki,nM,12.7,Ki,nM,12.7
CHEMBL542368,,CHEMBL1191292,7.31,Ki,nM,49.0,Ki,nM,49.0
CHEMBL50352,,CHEMBL50352,6.92,Ki,nM,121.0,Ki,nM,121.0
CHEMBL52298,,CHEMBL52298,7.55,Ki,nM,28.0,Ki,nM,28.0
CHEMBL54027,,CHEMBL54027,9.15,Ki,nM,0.7,Ki,nM,0.7
CHEMBL540283,,CHEMBL51146,7.43,Ki,nM,37.0,Ki,nM,37.0
CHEMBL416481,,CHEMBL416481,7.51,Ki,nM,31.0,Ki,nM,31.0
CHEMBL53038,,CHEMBL53038,7.68,Ki,nM,20.7,Ki,nM,20.7
CHEMBL301772,,CHEMBL301772,6.94,Ki,nM,115.0,Ki,nM,115.0
CHEMBL145296,,CHEMBL145296,8.22,Ki,nM,6.0,Ki,nM,6.0
CHEMBL301929,,CHEMBL301929,6.43,Ki,nM,375.0,Ki,nM,375.0
CHEMBL53320,,CHEMBL53320,8.77,Ki,nM,1.7,Ki,nM,1.7
CHEMBL545669,,CHEMBL1194148,6.62,Ki,nM,241.0,Ki,nM,241.0
CHEMBL51754,,CHEMBL51754,8.21,Ki,nM,6.2,Ki,nM,6.2
CHEMBL145780,,CHEMBL145780,7.78,Ki,nM,16.6,Ki,nM,16.6
CHEMBL145296,,CHEMBL145296,8.24,Ki,nM,5.8,Ki,nM,5.8
CHEMBL97524,,CHEMBL97524,6.96,Ki,nM,110.0,Ki,nM,110.0
CHEMBL160817,,CHEMBL160817,7.21,Ki,nM,61.0,Ki,nM,61.0
CHEMBL316520,,CHEMBL316520,6.9,Ki,nM,127.0,Ki,nM,127.0
CHEMBL159022,,CHEMBL159022,5.37,Ki,nM,4295.0,Ki,nM,4295.0
CHEMBL95857,,CHEMBL95857,7.67,Ki,nM,21.4,Ki,nM,21.4
CHEMBL50880,,CHEMBL50880,7.04,Ki,nM,92.0,Ki,nM,92.0
CHEMBL95701,,CHEMBL95701,6.9,Ki,nM,124.7,Ki,nM,124.7
CHEMBL97524,,CHEMBL97524,6.41,Ki,nM,388.0,Ki,nM,388.0
CHEMBL20730,VESAMICOL,CHEMBL20730,7.58,Ki,nM,26.0,Ki,nM,26.0
CHEMBL38791,,CHEMBL38791,4.5,Ki,nM,31800.0,Ki,nM,31800.0
CHEMBL50029,,CHEMBL50029,7.18,Ki,nM,66.0,Ki,nM,66.0
CHEMBL96777,,CHEMBL96777,8.56,Ki,nM,2.72,Ki,nM,2.72
CHEMBL53325,,CHEMBL53325,8.28,Ki,nM,5.3,Ki,nM,5.3
CHEMBL112574,,CHEMBL112574,8.55,Ki,nM,2.8,Ki,nM,2.8
CHEMBL2111684,,CHEMBL2111684,8.03,Ki,nM,9.4,Ki,nM,9.4
CHEMBL52790,,CHEMBL52790,6.57,Ki,nM,270.0,Ki,nM,270.0
CHEMBL114477,,CHEMBL114477,8.27,Ki,nM,5.4,Ki,nM,5.4
CHEMBL20969,,CHEMBL20969,5.7,Ki,nM,1980.0,Ki,nM,1980.0
CHEMBL54020,,CHEMBL54020,8.15,Ki,nM,7.0,Ki,nM,7.0
CHEMBL325262,,CHEMBL325262,7.72,Ki,nM,19.2,Ki,nM,19.2
