action_type,molecule_chembl_id,parent_molecule_chembl_id
ANTAGONIST,CHEMBL1113,CHEMBL1113
ANTAGONIST,CHEMBL723,CHEMBL723
ANTAGONIST,CHEMBL1558,CHEMBL2
INHIBITOR,CHEMBL112,CHEMBL112
INHIBITOR,CHEMBL154,CHEMBL154
INHIBITOR,CHEMBL898,CHEMBL898
INHIBITOR,CHEMBL421,CHEMBL421
INHIBITOR,CHEMBL521,CHEMBL521
INHIBITOR,CHEMBL25,CHEMBL25
INHIBITOR,CHEMBL6,CHEMBL6
INHIBITOR,CHEMBL563,CHEMBL563
INHIBITOR,CHEMBL15770,CHEMBL15770
INHIBITOR,CHEMBL686,CHEMBL686
INHIBITOR,CHEMBL1071,CHEMBL1071
INHIBITOR,CHEMBL101,CHEMBL101
INHIBITOR,CHEMBL527,CHEMBL527
INHIBITOR,CHEMBL571,CHEMBL571
INHIBITOR,CHEMBL44657,CHEMBL44657
ANTAGONIST,CHEMBL628,CHEMBL628
ANTAGONIST,CHEMBL1370561,CHEMBL190
ANTAGONIST,CHEMBL113,CHEMBL113
ANTAGONIST,CHEMBL1355736,CHEMBL190
ACTIVATOR,CHEMBL136478,CHEMBL2097081
INHIBITOR,CHEMBL1456,CHEMBL1456
INHIBITOR,CHEMBL866,CHEMBL866
INHIBITOR,CHEMBL727,CHEMBL727
OPENER,CHEMBL802,CHEMBL802
BLOCKER,CHEMBL1481,CHEMBL1481
BLOCKER,CHEMBL472,CHEMBL472
BLOCKER,CHEMBL498,CHEMBL498
BLOCKER,CHEMBL1073,CHEMBL1073
BLOCKER,CHEMBL817,CHEMBL817
BLOCKER,CHEMBL783,CHEMBL783
BLOCKER,CHEMBL585,CHEMBL585
INHIBITOR,CHEMBL467,CHEMBL467
BLOCKER,CHEMBL193,CHEMBL193
BLOCKER,CHEMBL1428,CHEMBL1428
BLOCKER,CHEMBL1726,CHEMBL1726
BLOCKER,CHEMBL1480,CHEMBL1480
AGONIST,CHEMBL1544,CHEMBL1544
AGONIST,CHEMBL701,CHEMBL701
AGONIST,CHEMBL1200585,CHEMBL1200585
ANTAGONIST,CHEMBL806,CHEMBL806
AGONIST,CHEMBL1395,CHEMBL1395
AGONIST,CHEMBL1200623,CHEMBL1200623
AGONIST,CHEMBL2079587,CHEMBL2079587
AGONIST,CHEMBL386630,CHEMBL386630
AGONIST,CHEMBL1479,CHEMBL1479
PARTIAL AGONIST,CHEMBL1516474,CHEMBL76370
AGONIST,CHEMBL714,CHEMBL714
ANTAGONIST,CHEMBL521606,CHEMBL521606
ANTAGONIST,CHEMBL1671,CHEMBL27
PARTIAL AGONIST,CHEMBL500,CHEMBL500
ANTAGONIST,CHEMBL499,CHEMBL499
INHIBITOR,CHEMBL1670,CHEMBL1670
INHIBITOR,CHEMBL1518,CHEMBL1518
INHIBITOR,CHEMBL799,CHEMBL799
INHIBITOR,CHEMBL1752,CHEMBL1752
INHIBITOR,CHEMBL374478,CHEMBL374478
INHIBITOR,CHEMBL444633,CHEMBL444633
INHIBITOR,CHEMBL1660,CHEMBL1660
INHIBITOR,CHEMBL496,CHEMBL496
INHIBITOR,CHEMBL822,CHEMBL822
INHIBITOR,CHEMBL1463,CHEMBL1463
INHIBITOR,CHEMBL562,CHEMBL562
INHIBITOR,CHEMBL685,CHEMBL685
INHIBITOR,CHEMBL625,CHEMBL625
INHIBITOR,CHEMBL1483,CHEMBL1483
INHIBITOR,CHEMBL1483,CHEMBL1483
INHIBITOR,CHEMBL685,CHEMBL685
INHIBITOR,CHEMBL625,CHEMBL625
AGONIST,CHEMBL1282,CHEMBL1282
INHIBITOR,CHEMBL104,CHEMBL104
INHIBITOR,CHEMBL157101,CHEMBL157101
INHIBITOR,CHEMBL91,CHEMBL91
INHIBITOR,CHEMBL64391,CHEMBL64391
INHIBITOR,CHEMBL1714574,CHEMBL1714574
INHIBITOR,CHEMBL106,CHEMBL106
INHIBITOR,CHEMBL122,CHEMBL122
INHIBITOR,CHEMBL599,CHEMBL599
INHIBITOR,CHEMBL1070,CHEMBL1070
INHIBITOR,CHEMBL865,CHEMBL865
INHIBITOR,CHEMBL118,CHEMBL118
INHIBITOR,CHEMBL622,CHEMBL622
INHIBITOR,CHEMBL182,CHEMBL182
INHIBITOR,CHEMBL184,CHEMBL184
INHIBITOR,CHEMBL880,CHEMBL880
INHIBITOR,CHEMBL772,CHEMBL772
INHIBITOR,CHEMBL163,CHEMBL163
INHIBITOR,CHEMBL116,CHEMBL116
INHIBITOR,CHEMBL114,CHEMBL114
NEGATIVE ALLOSTERIC MODULATOR,CHEMBL398435,CHEMBL398435
ANTAGONIST,CHEMBL517712,CHEMBL517712
ANTAGONIST,CHEMBL1231,CHEMBL1231
ANTAGONIST,CHEMBL1722209,CHEMBL1382
ANTAGONIST,CHEMBL1200993,CHEMBL360055
AGONIST,CHEMBL983,CHEMBL703
ANTAGONIST,CHEMBL1200629,CHEMBL1201219
INHIBITOR,CHEMBL1308,CHEMBL1308
INHIBITOR,CHEMBL141,CHEMBL141
INHIBITOR,CHEMBL141,CHEMBL141
INHIBITOR,CHEMBL141,CHEMBL141
MODULATOR,CHEMBL6067487,CHEMBL6067487
MODULATOR,CHEMBL6067487,CHEMBL6067487
CHELATING AGENT,CHEMBL1430,CHEMBL1430
INHIBITOR,CHEMBL781,CHEMBL781
INHIBITOR,CHEMBL628,CHEMBL628
AGONIST,CHEMBL38,CHEMBL38
INHIBITOR,CHEMBL1643,CHEMBL1643
INHIBITOR,CHEMBL254219,CHEMBL254219
INHIBITOR,CHEMBL1751,CHEMBL1751
ALLOSTERIC ANTAGONIST,CHEMBL407,CHEMBL407
POSITIVE ALLOSTERIC MODULATOR,CHEMBL451,CHEMBL451
POSITIVE ALLOSTERIC MODULATOR,CHEMBL12,CHEMBL12
POSITIVE ALLOSTERIC MODULATOR,CHEMBL661,CHEMBL661
POSITIVE ALLOSTERIC MODULATOR,CHEMBL452,CHEMBL452
POSITIVE ALLOSTERIC MODULATOR,CHEMBL580,CHEMBL580
POSITIVE ALLOSTERIC MODULATOR,CHEMBL856,CHEMBL856
POSITIVE ALLOSTERIC MODULATOR,CHEMBL526,CHEMBL526
POSITIVE ALLOSTERIC MODULATOR,CHEMBL1521,CHEMBL1521
INHIBITOR,CHEMBL9,CHEMBL9
INHIBITOR,CHEMBL850,CHEMBL850
